Názov stanice,Cestovný poriadok,Bezbariérový prístup
Tulčík,194,áno
Tupá,153,
Turany,180,
Turzovka,128,áno
Turzovka zastávka,128,áno
Turček,171,
Turčianske Teplice,"170,171",áno
Turňa nad Bodvou,160,áno
Tvrdošovce,130,áno
Tvrdošín,181,
Udavské,191,áno
Utekáč,162,áno
Uľanka,170,
Valaliky,169,áno
Valaská,172,áno
Vaniškovce,194,áno
Varín,180,áno
Vaďovce,121,áno
Vaľkovňa,172,
Važec,180,
Veličná,181,áno
Vernár,173,áno
Veľaty,191,
Veľká Ida,160,
Veľká Lodina,180,áno
Veľká Lomnica-Golf,185,áno
Veľká Lúka,170,áno
Veľká Paka,131,áno
Veľká Ves,162,áno
Veľké Bielice,140,áno
Veľké Blahovo,131,áno
Veľké Kapušany,195,
Veľké Kapušany zastávka,195,
Veľké Kostoľany,120,áno
Veľké Kozmálovce,150,áno
Veľké Leváre,110,
Veľké Ripňany,142,
Veľké Teriakovce,174,
Veľké Uherce,140,áno
Veľký Biel,130,áno
Veľký Horeš,190,áno
Veľký Kýr,140,
Veľký Meder,131,
Veľký Slavkov,183,
Veľký Šariš,188,áno
Vidová,160,áno
Violín,136,
Višňové,121,áno
Vlachovo,167,
Vlachovo obec,167,
Vlkanová,170,áno
Vlčany,134,
Vojany,195,
Vojčice,192,
Volica,191,áno
Volkovce,141,
Voznica,150,
Vranov nad Topľou,"192,192",
Vranov nad Topľou predmestie,192,
Vranov-Ortáše,192,
Vranovské Dlhé,193,áno
Vrbovce,121,áno
Vrbovce zastávka,121,áno
Vráble,151,
Vrútky,"120,180,170",áno
Vrútky nákladná stanica,180,
Vydrník,180,áno
Vysoká nad Kysucou,128,áno
Vysoká pri Morave,113,áno
Vysoká pri Morave zastávka,113,
Vyškovce nad Ipľom,153,
Vyšná Myšľa,190,áno
Vyšné Hágy,183,áno
Vyšné Čabiny,191,
Vígľaš,160,
Vítkovce,180,áno
Východná,180,
Výčapy-Opatovce,140,
Včelínce,160,
Zalaba,153,
Zariečie,125,
Zbehy,"140,141,142",
Zbehy obec,141,áno
Zbojská,174,
Zbudské Dlhé,191,
Zbyňov,126,áno
Zelené,162,áno
Zemianska Olča,131,
Zemianske Kostoľany,140,áno
Zlatno,162,áno
Zlatná na Ostrove,131,
Zlaté Moravce,"141,151",
Zlaté Moravce závody,141,
Zlaté Moravce-Prílepy,141,
Zohor,"110,112,113",áno
Zvolen mesto,170,áno
Zvolen nákladná stanica,"160,170",
Zvolen osobná stanica,"150,153,160,170,171",áno
Zvolenská Slatina,160,áno
Záhorská Ves,113,áno
Závadka nad Hronom obec,172,
Závadka nad Hronom zastávka,172,
Závod,110,áno
Úpor,191,áno
Úľany nad Žitavou,"150,151",
Čab-Sila,142,
Čab-Sila zastávka,142,
Čachtice,121,áno
Čadca,"127,128,129",áno
Čadca mesto,127,áno
Čadca zastávka,128,áno
Čakajovce,140,áno
Čalovec,136,
Čamovce,160,
Čata,"152,153",
Čaňa,169,áno
Čerenčany,174,
Čerhov,190,áno
Červenica,188,áno
Červená Skala,"172,173",
České Brezovo,162,áno
Čečejovce,160,
Čeľovce,190,áno
Čierna nad Tisou,190,áno
Čierna nad Tisou zastávka,190,
Čierne nad Topľou,193,áno
